N_PARCELLE;Date_debut;Date_fin;Type_intervention;Detail_intervention;Crop;N;P;K;MG;S;Herbi;Fongi;Mollus;Insect
P102;2011-09-20;2011-09-20;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P102;2012-06-01;2012-06-01;Traitement;Fongicide;-;0;0;0;0;0;0;0.75;0;0
P102;2012-06-20;2012-06-20;Traitement;Fongicide;-;0;0;0;0;0;0;1;0;0
P102;2012-03-24;2012-03-24;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;0.714285714285714
P102;2011-10-05;2011-10-05;Traitement;Herbicide;-;0;0;0;0;0;1.04;0;0;0
P102;2012-05-14;2012-05-14;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;1
P102;2012-04-12;2012-04-12;Traitement;Herbicide;-;0;0;0;0;0;0.24;0;0;0
P102;2012-05-24;2012-05-24;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;1
P102;2012-10-18;2013-07-20;Culture;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P102;2013-07-20;2013-07-20;Recolte;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P102;2012-08-15;2012-08-15;Travail-sol;Labour;_;0;0;0;0;0;0;0;0;0
P102;2012-08-20;2012-08-20;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P102;2012-10-15;2012-10-15;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P102;2013-07-25;2013-07-25;Travail-sol;Pressage;_;0;0;0;0;0;0;0;0;0
P102;2013-05-08;2013-05-08;Traitement;Fongicide;-;0;0;0;0;0;0;1.4;0;0
P102;2013-03-22;2013-03-22;Traitement;Herbicide;-;0;0;0;0;0;1;0;0;0
P102;2013-06-11;2013-06-11;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;1
P102;2013-06-05;2013-06-05;Traitement;Fongicide;-;0;0;0;0;0;0;0.8;0;0
P102;2013-02-22;2013-02-22;Fertilisation;N;_;60;0;0;0;0;0;0;0;0
P102;2013-02-22;2013-02-22;Fertilisation;N;_;59;0;0;0;35;0;0;0;0
P102;2013-02-22;2013-02-22;Fertilisation;N;_;50;0;0;0;0;0;0;0;0
P102;2013-10-22;2014-06-26;Culture;Culture principale;Orge_hiver;0;0;0;0;0;0;0;0;0
P102;2014-06-26;2014-06-26;Recolte;Culture principale;Orge_hiver;0;0;0;0;0;0;0;0;0
